"HyperLynx Oscilloscope .CSV file"

"Design file: IFA_ESP32.HYP         Designer: Joshua Anthony"
"Created on: 08 March 2025   Time: 09:25:40"
"Created by: HyperLynx VX2.10 build 19246144"
"Comment: "
"Probe 1: U2.1 (at pin)"
"Probe 2: ANT1.1 (at pin)"
"Probe 3: C16.2 (at pin)"
"Probe 4: C18.2 (at pin)"
"Probe 5: L3.1 (at pin)"
"Probe 6: L3.2 (at pin)"
"","Time","Probe V V [U2.1 (at pin)]","Probe V V [ANT1.1 (at pin)]","Probe V V [C16.2 (at pin)]","Probe V V [C18.2 (at pin)]","Probe V V [L3.1 (at pin)]","Probe V V [L3.2 (at pin)]"
""," 220.9630523e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 221.9407769e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 222.9184837e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 223.8961905e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 224.8739150e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 225.8516218e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 226.8293287e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 227.8070532e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 228.7847600e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 229.7624668e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 230.7401914e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 231.7178982e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 232.6956050e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 233.6733118e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 234.6510364e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 235.6287432e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 236.6064500e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 237.5841746e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 238.5618814e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 239.5395882e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 240.5173127e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 241.4950195e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 242.4727263e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 243.4504509e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 244.4281577e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 245.4058645e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 246.3835891e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 247.3612959e-10","5.000003","9.999903e-09","5.000003","5.000003","5.000003","5.000003"
""," 248.3390027e-10","5.000003","9.999903e-09","5.000003","5.000003","5.000003","5.000003"
""," 249.3167273e-10","5.000003","9.999903e-09","5.000003","5.000003","5.000003","5.000003"
""," 250.2944341e-10","5.000003","9.999903e-09","5.000003","5.000003","5.000003","5.000003"
""," 251.2721409e-10","5.000003","9.999903e-09","5.000003","5.000003","5.000003","5.000003"
""," 252.2498654e-10","5.000003","9.999903e-09","5.000003","5.000003","5.000003","5.000003"
""," 253.2275722e-10","5.000003","9.999903e-09","5.000003","5.000003","5.000003","5.000003"
""," 254.2052790e-10","5.000003","9.999903e-09","5.000003","5.000003","5.000003","5.000003"
""," 255.1830036e-10","5.000003","9.999903e-09","5.000003","5.000003","5.000003","5.000003"
""," 256.1607104e-10","5.000003","9.999903e-09","5.000003","5.000003","5.000003","5.000003"
""," 257.1384172e-10","5.000003","9.999903e-09","5.000003","5.000003","5.000003","5.000003"
""," 258.1161418e-10","5.000003","9.999903e-09","5.000003","5.000003","5.000003","5.000003"
""," 259.0938486e-10","5.000003","9.999903e-09","5.000003","5.000003","5.000003","5.000003"
""," 260.0715554e-10","5.000003","9.999903e-09","5.000003","5.000003","5.000003","5.000003"
""," 261.0492800e-10","5.000003","9.999903e-09","5.000003","5.000003","5.000003","5.000003"
""," 262.0269868e-10","5.000003","9.999903e-09","5.000003","5.000003","5.000003","5.000003"
""," 263.0046936e-10","5.000003","9.999903e-09","5.000003","5.000003","5.000003","5.000003"
